frequency_hz,mean_response_db,response_standard_deviation_db,mean_chirp_level_dbfs,chirp_level_standard_deviation_db,mean_noise_level_dbfs,noise_level_standard_deviation_db,mean_snr_db,response_1_db,response_2_db,response_3_db,response_4_db,response_5_db,response_6_db,response_7_db,response_8_db,chirp_level_1_dbfs,chirp_level_2_dbfs,chirp_level_3_dbfs,chirp_level_4_dbfs,chirp_level_5_dbfs,chirp_level_6_dbfs,chirp_level_7_dbfs,chirp_level_8_dbfs,noise_level_1_dbfs,noise_level_2_dbfs,noise_level_3_dbfs,noise_level_4_dbfs,noise_level_5_dbfs,noise_level_6_dbfs,noise_level_7_dbfs,noise_level_8_dbfs
1146.29258517,-52.82520523,2.86655254,-108.64413113,2.86655254,-108.88913433,1.80889516,0.24500320,-48.19165143,-49.37615773,-53.58222817,-51.65951618,-56.61477130,-54.79904912,-54.53893831,-53.83932962,-104.01057733,-105.19508362,-109.40115407,-107.47844208,-112.43369719,-110.61797502,-110.35786421,-109.65825552,-105.43957528,-109.28041806,-108.85613285,-107.41529635,-108.97355918,-109.46621548,-111.44078565,-110.24109181
1189.37875752,-54.63831097,4.86566675,-109.26711565,4.86566675,-108.17469181,1.39266647,-1.09242385,-47.41639702,-47.44867749,-56.80742534,-55.27810527,-58.87861041,-60.40681905,-53.97993416,-56.89051905,-102.04520170,-102.07748217,-111.43623002,-109.90690994,-113.50741509,-115.03562373,-108.60873884,-111.51932373,-105.64396966,-109.06276928,-108.21970032,-107.46048333,-108.40105184,-107.62933116,-110.50548459,-108.47474426
1232.46492986,-53.39373556,4.46757572,-107.01644942,4.46757572,-109.36835545,1.47967507,2.35190603,-45.37340733,-49.05238145,-56.46553900,-53.57048464,-56.83150635,-58.87264565,-51.87666242,-55.10725765,-98.99612119,-102.67509531,-110.08825286,-107.19319850,-110.45422020,-112.49535951,-105.49937628,-108.72997151,-106.25258472,-109.38054327,-109.32593526,-109.20213822,-110.19072474,-109.33804577,-111.56000702,-109.69686461
1275.55110220,-52.14916015,4.42034306,-104.76578318,4.42034306,-110.41833456,1.10161129,5.65255138,-43.33041763,-50.65608542,-56.12365266,-51.86286401,-54.78440228,-57.33847224,-49.77339068,-53.32399624,-95.94704067,-103.27270846,-108.74027570,-104.47948705,-107.40102532,-109.95509528,-102.39001371,-105.94061928,-108.37844513,-109.63131063,-110.99533868,-110.55770380,-110.73264521,-110.41745645,-112.22472347,-110.40905314
1318.63727455,-50.86811514,4.23837269,-102.58896841,4.23837269,-111.16275713,1.06269601,8.57378873,-42.02435589,-51.39172087,-54.71607570,-50.27001147,-52.99351692,-55.50020941,-48.49172364,-51.55730722,-93.74520916,-103.11257414,-106.43692897,-101.99086474,-104.71437018,-107.22106267,-100.21257691,-103.27816049,-109.23509050,-110.91426791,-112.24802366,-110.56215967,-111.59499833,-110.49773496,-111.89186400,-112.35791804
1361.72344689,-49.52515055,3.40562639,-100.53754171,3.40562639,-111.86360939,1.31990783,11.32606768,-41.96948119,-50.65351339,-51.49912474,-48.87201699,-51.63765035,-53.14565085,-48.60501137,-49.81875549,-92.98187235,-101.66590455,-102.51151591,-99.88440816,-102.65004152,-104.15804202,-99.61740254,-100.83114666,-110.07023088,-109.92486763,-113.01399097,-112.60701049,-112.43463087,-111.20365503,-112.22501676,-113.42947246
1404.80961924,-48.18218595,2.78542819,-98.48611502,2.78542819,-112.33609922,1.42323617,13.84998421,-41.91460648,-49.91530590,-48.28217378,-47.47402251,-50.28178379,-50.79109229,-48.71829910,-48.08020376,-92.21853554,-100.21923497,-98.58610284,-97.77795157,-100.58571286,-101.09502136,-99.02222817,-98.38413283,-109.50180707,-111.15992574,-113.20247549,-112.54427384,-112.69828831,-112.15326619,-113.76311807,-113.66563909
1447.89579158,-48.01177200,2.62523592,-97.54607602,2.62523592,-111.62086001,1.16290599,14.07478399,-41.88330102,-49.64591213,-47.86226180,-47.60565177,-49.85084619,-49.74708515,-49.16490414,-48.33421381,-91.41760504,-99.18021615,-97.39656582,-97.13995579,-99.38515021,-99.28138917,-98.69920816,-97.86851783,-109.10006973,-111.30294007,-111.40054803,-111.42693574,-112.53103863,-112.07609679,-112.33246262,-112.79678847
1490.98196393,-48.32183933,2.66171811,-97.06145529,2.66171811,-113.04553578,0.91745629,15.98408049,-41.86165364,-49.56862624,-48.58850489,-48.36408174,-49.79892083,-49.24010847,-49.74809410,-49.40472473,-90.60126960,-98.30824220,-97.32812085,-97.10369770,-98.53853679,-97.97972443,-98.48771006,-98.14434069,-111.60525852,-112.51167144,-113.25860824,-113.72017982,-113.91080553,-113.50566775,-111.91531506,-113.93677990
1534.06813627,-48.85809061,2.82519767,-96.80726668,2.82519767,-112.87188352,1.10154270,16.06461685,-41.98929837,-49.66961220,-49.76071349,-49.33534108,-49.97302845,-49.04043217,-50.51741335,-50.57888577,-89.93847443,-97.61878827,-97.70988956,-97.28451714,-97.92220452,-96.98960823,-98.46658942,-98.52806184,-110.90127024,-112.99413495,-113.82488679,-113.07688750,-114.16238364,-113.58439194,-111.66298020,-112.76813292
1577.15430862,-53.88032362,4.06902974,-101.12331511,4.06902974,-112.58230159,1.48908888,11.45898649,-45.07790328,-53.30632343,-59.77790479,-54.52771618,-54.63012355,-54.93554670,-54.97829692,-53.80877414,-92.32089476,-100.54931492,-107.02089628,-101.77070767,-101.87311503,-102.17853819,-102.22128840,-101.05176563,-109.18283054,-111.86010366,-113.95580620,-113.07477715,-113.12119702,-113.04215616,-113.31767605,-113.10386599
1620.24048096,-58.90255664,5.92869366,-105.43936354,5.92869366,-111.83357114,1.66326594,6.39420760,-48.16650819,-56.94303466,-69.79509609,-59.72009129,-59.28721864,-60.83066124,-59.43918048,-57.03866251,-94.70331509,-103.47984156,-116.33190299,-106.25689820,-105.82402554,-107.36746815,-105.97598738,-103.57546942,-108.90645857,-112.08494117,-113.17164036,-112.63661043,-113.53430064,-112.89142915,-109.76918429,-111.67400455
1663.32665331,-62.34412111,6.51027823,-108.20242363,6.51027823,-112.37138898,0.94182718,4.16896535,-51.05372222,-60.13749046,-74.75903190,-63.40987820,-63.15855489,-63.83633050,-62.53412061,-59.86384011,-96.91202474,-105.99579298,-120.61733442,-109.26818072,-109.01685741,-109.69463302,-108.39242314,-105.72214263,-111.57258961,-111.43542193,-114.04235858,-112.00482573,-112.95912686,-111.43925129,-112.40225571,-113.11528213
1706.41282565,-63.27841824,5.00938530,-108.50212291,5.00938530,-113.29480046,1.44466723,4.79267755,-53.62148864,-62.63043765,-71.70745899,-64.71624933,-65.78351504,-62.25874173,-63.46239185,-62.04706269,-98.84519331,-107.85414232,-116.93116366,-109.93995399,-111.00721970,-107.48244639,-108.68609652,-107.27076736,-110.47627384,-112.79665657,-113.96711127,-114.45334399,-113.26983149,-112.55862093,-113.53624811,-115.30031750
1749.49899800,-64.21271537,4.11150067,-108.80182218,4.11150067,-113.42608285,1.71992062,4.62426067,-56.18925506,-65.12338485,-68.65588609,-66.02262046,-68.40847519,-60.68115295,-64.39066310,-64.23028527,-100.77836187,-109.71249166,-113.24499290,-110.61172727,-112.99758200,-105.27025977,-108.97976991,-108.81939208,-109.73973607,-112.42381291,-113.05612723,-115.16980535,-113.97872211,-114.28958339,-114.17275284,-114.57812292
1792.58517034,-63.00218565,3.27189255,-106.99963024,3.27189255,-113.57808749,1.73391490,6.57845725,-56.77125849,-64.91588261,-65.65590507,-64.09623735,-66.74510758,-59.81095805,-62.91740738,-63.10472869,-100.76870308,-108.91332721,-109.65334966,-108.09368195,-110.74255217,-103.80840264,-106.91485197,-107.10217328,-110.96934889,-112.03042228,-114.60604912,-114.81907450,-111.57426896,-115.21065163,-114.79757749,-114.61730709
1835.67134269,-60.97946047,2.35766739,-104.40150156,2.35766739,-113.42909247,2.86729825,9.02759091,-56.60130019,-63.68578372,-62.67546069,-60.94568629,-63.45785115,-59.20863656,-60.53474990,-60.72621529,-100.02334128,-107.10782481,-106.09750177,-104.36772738,-106.87989224,-102.63067765,-103.95679099,-104.14825638,-111.10040366,-112.40763456,-114.31559172,-115.31183866,-107.66908435,-115.52286197,-115.84621802,-115.25910680
1878.75751503,-59.02051463,1.81833834,-101.87034329,1.81833834,-115.22170550,1.92145784,13.35136222,-56.30954785,-62.38353739,-59.85682971,-57.99255600,-60.30807778,-58.60077780,-58.27580856,-58.43698193,-99.15937651,-105.23336605,-102.70665837,-100.84238466,-103.15790644,-101.45060646,-101.12563722,-101.28681059,-112.03156908,-115.10069826,-115.89743361,-116.88927393,-112.56973889,-116.98041661,-115.62445372,-116.68005992
1921.84368737,-57.99434156,1.77080589,-100.31862722,1.77080589,-115.77085831,1.31260529,15.45223109,-54.23655765,-60.02613489,-59.40471987,-57.92670462,-59.16899420,-57.91193644,-57.82621568,-57.45346915,-96.56084330,-102.35042055,-101.72900553,-100.25099028,-101.49327985,-100.23622210,-100.15050133,-99.77775480,-113.38186062,-115.76171293,-116.52449375,-116.52696049,-115.14472216,-116.56961132,-114.72745882,-117.53004639
1964.92985972,-56.96816849,2.06733816,-98.76691115,2.06733816,-116.46779225,1.45445407,17.70088110,-52.16356744,-57.66873240,-58.95261003,-57.86085324,-58.02991061,-57.22309508,-57.37662279,-56.46995636,-93.96231010,-99.46747505,-100.75135268,-99.65959590,-99.82865327,-99.02183774,-99.17536545,-98.26869901,-113.68969694,-115.12555463,-116.16818774,-117.34969255,-116.66543385,-117.71706457,-116.94988758,-118.07682014
2008.01603206,-55.62123539,2.22845946,-96.91161559,2.22845946,-116.94063956,1.49901746,20.02902397,-50.51861246,-55.54284758,-57.82951528,-57.06893827,-56.58257291,-56.00263458,-56.28715123,-55.13761081,-91.80899266,-96.83322777,-99.11989547,-98.35931847,-97.87295311,-97.29301478,-97.57753143,-96.42799101,-113.81689461,-116.26588716,-116.45147698,-118.38757121,-117.32079730,-117.83772612,-117.01108562,-118.43367746
2051.10220441,-53.79847284,1.90117171,-94.60597694,1.90117171,-117.41179686,1.75536915,22.80581993,-49.50862366,-53.76040620,-55.71105219,-55.19994883,-54.67795759,-53.99354702,-54.24845568,-53.28779151,-90.31612776,-94.56791030,-96.51855629,-96.00745294,-95.48546169,-94.80105112,-95.05595978,-94.09529562,-113.95841193,-115.92945920,-118.09359195,-118.77522481,-117.83506191,-118.45768641,-116.93101555,-119.31392315
2094.18837675,-51.97571028,1.58210036,-92.30033829,1.58210036,-117.37954278,2.37513992,25.07920449,-48.49863485,-51.97796482,-53.59258910,-53.33095940,-52.77334227,-51.98445946,-52.20976013,-51.43797222,-88.82326285,-92.30259283,-93.91721710,-93.65558741,-93.09797027,-92.30908746,-92.53438813,-91.76260022,-112.60874465,-116.02150508,-119.03049969,-119.43986240,-117.88795949,-117.61207759,-116.45778931,-119.97790402
2137.27454910,-51.02227031,1.62601057,-90.89146634,1.62601057,-117.41689510,2.64992305,26.52542877,-47.28220528,-51.33862641,-52.46023741,-52.24400982,-51.81401549,-51.13655678,-51.27436577,-50.62814555,-87.15140130,-91.20782243,-92.32943343,-92.11320584,-91.68321151,-91.00575280,-91.14356179,-90.49734157,-111.50804294,-116.31050411,-119.57360636,-118.80779779,-118.85863384,-118.10328641,-116.86534945,-119.30793991
2180.36072144,-50.37215513,1.82950176,-89.79549500,1.82950176,-117.75019368,1.76491793,27.95469868,-45.99374422,-51.09814047,-51.67196057,-51.42993026,-51.18451960,-50.69381572,-50.72393622,-50.18119401,-85.41708408,-90.52148033,-91.09530043,-90.85327013,-90.60785946,-90.11715559,-90.14727608,-89.60453387,-114.45169548,-117.07779844,-119.44702137,-118.59717248,-118.84792215,-118.57864585,-115.94182418,-119.05946948
2223.44689379,-49.88258825,2.03457319,-88.86267350,2.03457319,-118.09611188,2.35692585,29.23343837,-44.93674610,-50.97805990,-51.05442815,-50.77638399,-50.70459295,-50.39758771,-50.33203791,-49.88086927,-83.91683136,-89.95814515,-90.03451340,-89.75646925,-89.68467820,-89.37767297,-89.31212317,-88.86095452,-113.53825236,-117.76248993,-119.90949044,-119.33290785,-120.53882650,-118.83582672,-115.72717412,-119.12392710
2266.53306613,-51.23932675,1.92828919,-89.80607523,1.92828919,-118.98326791,1.20497249,29.17719268,-46.54157188,-52.24264105,-52.40045666,-51.96897054,-51.94471257,-51.78625969,-51.76324885,-51.26675274,-85.10832036,-90.80938954,-90.96720514,-90.53571903,-90.51146106,-90.35300818,-90.32999734,-89.83350123,-116.55607515,-118.30992322,-119.29238432,-118.97442241,-119.68893621,-120.43218013,-118.62874383,-119.98347801
2309.61923848,-52.59606525,1.82506379,-90.74947697,1.82506379,-119.06379205,1.46462443,28.31431508,-48.14639765,-53.50722220,-53.74648516,-53.16155709,-53.18483219,-53.17493167,-53.19445979,-52.65263622,-86.29980937,-91.66063392,-91.89989688,-91.31496881,-91.33824391,-91.32834339,-91.34787151,-90.80604794,-115.87563163,-118.65774833,-119.17153687,-119.20689735,-120.86254437,-119.24477385,-119.26781921,-120.22338474
2352.70541082,-52.69067563,1.77708751,-90.44284205,1.77708751,-119.28527319,1.47960041,28.84243114,-48.37505511,-53.59418078,-53.91416886,-53.22956096,-53.27228519,-53.21144887,-53.20804555,-52.72065971,-86.12722153,-91.34634720,-91.66633528,-90.98172738,-91.02445161,-90.96361529,-90.96021197,-90.47282614,-116.45051602,-118.29769520,-120.56450989,-120.40474984,-119.93913343,-119.79902295,-118.25150339,-120.57505480
2395.79158317,-51.03277691,1.81455104,-88.40048746,1.81455104,-119.41036892,1.22090655,31.00988146,-46.69285467,-52.04596914,-52.44567950,-51.73604239,-51.75922020,-51.37045178,-51.25320909,-50.95878846,-84.06056522,-89.41367970,-89.81339006,-89.10375294,-89.12693075,-88.73816233,-88.62091965,-88.32649901,-116.92453585,-119.24676799,-120.57238594,-120.18309388,-119.28356004,-119.77827946,-118.64287624,-120.65145196
2438.87775551,-49.37487818,1.86884464,-86.35813286,1.86884464,-119.51697639,1.28083234,33.15884353,-45.01065423,-50.49775751,-50.97719015,-50.24252382,-50.24615521,-49.52945470,-49.29837264,-49.19691720,-81.99390891,-87.48101219,-87.96044483,-87.22577850,-87.22940989,-86.51270938,-86.28162732,-86.18017188,-116.68962316,-118.81046076,-120.56372979,-120.16254179,-120.48367411,-119.56678490,-119.61260055,-120.24639607
2481.96392786,-47.86734010,1.95793592,-84.52702586,1.95793592,-119.45673678,1.32013597,34.92971092,-43.22638403,-48.86215418,-49.45239673,-48.78336782,-48.79335684,-48.15839490,-47.90253365,-47.76013265,-79.88606978,-85.52183994,-86.11208248,-85.44305358,-85.45304259,-84.81808066,-84.56221941,-84.41981841,-117.07084292,-117.80273830,-119.86440330,-120.48604093,-120.19149036,-119.43732527,-120.06606027,-120.73499286
2525.05010020,-46.40798096,2.06984259,-82.76360734,2.06984259,-118.84714630,1.81378758,36.08353896,-41.40940837,-47.19854859,-47.90956221,-47.33522237,-47.35986926,-46.93791361,-46.68581006,-46.42751322,-77.76503475,-83.55417497,-84.26518859,-83.69084875,-83.71549563,-83.29353999,-83.04143644,-82.78313959,-115.65325962,-116.32994899,-120.34780927,-120.15687372,-119.01740548,-119.69434721,-119.83451347,-119.74301265
2568.13627255,-45.06518076,2.16976947,-81.11177507,2.16976947,-118.99274311,1.68365228,37.88096804,-39.77645483,-45.66477918,-46.47862752,-46.00202686,-46.02950582,-45.81548111,-45.55328573,-45.20128503,-75.82304915,-81.71137349,-82.52522184,-82.04862118,-82.07610013,-81.86207542,-81.59988004,-81.24787934,-116.09145553,-118.58232104,-120.71840986,-120.42697220,-119.40147415,-119.40687163,-120.33921688,-116.97522357
2611.22244489,-44.81997723,2.02731712,-80.51071338,2.02731712,-119.87762968,1.42722947,39.36691631,-39.87637622,-45.35363379,-46.10141618,-45.75127661,-45.67022809,-45.61634141,-45.21363779,-44.97690778,-75.56711236,-81.04436993,-81.79215232,-81.44201275,-81.36096424,-81.30707755,-80.90437393,-80.66764393,-116.70825415,-119.09843154,-120.62859596,-121.35897828,-120.49777190,-120.32761560,-120.36293965,-120.03845040
2654.30861723,-44.57477371,1.88663412,-79.90965168,1.88663412,-119.78609815,1.67763469,39.87644647,-39.97629760,-45.04248840,-45.72420484,-45.50052635,-45.31095036,-45.41720171,-44.87398985,-44.75253054,-75.31117558,-80.37736638,-81.05908281,-80.83540433,-80.64582834,-80.75207968,-80.20886783,-80.08740851,-115.99208952,-118.79941592,-120.30525868,-120.89277494,-120.66962055,-120.97132041,-120.15065520,-120.50765001
2697.39478958,-44.83211452,1.91410403,-79.82046876,1.91410403,-119.66768082,2.06978663,39.84721206,-40.14860615,-45.29000668,-45.90486897,-45.75087276,-45.50829080,-45.74890238,-45.19440241,-45.11096602,-75.13696039,-80.27836092,-80.89322321,-80.73922699,-80.49664503,-80.73725662,-80.18275664,-80.09932025,-115.72435077,-118.38124589,-120.72714790,-121.60992692,-119.47751312,-121.79076727,-118.53046173,-121.10003296
2740.48096192,-45.74307129,2.16423938,-80.39704227,2.16423938,-119.51581463,2.67067189,39.11877235,-40.41506244,-46.26413047,-46.81111350,-46.65295224,-46.42957632,-46.77102121,-46.37329856,-46.22741560,-75.06903342,-80.91810145,-81.46508448,-81.30692323,-81.08354730,-81.42499219,-81.02726954,-80.88138658,-116.86911643,-118.74539490,-121.34133275,-123.05235180,-116.76896832,-121.95798737,-116.28377021,-121.10759524
2783.56713427,-46.65402806,2.42075544,-80.97361579,2.42075544,-118.38736627,2.95774131,37.41375048,-40.68151872,-47.23825426,-47.71735802,-47.55503173,-47.35086185,-47.79314004,-47.55219471,-47.34386518,-75.00110644,-81.55784199,-82.03694575,-81.87461946,-81.67044958,-82.11272776,-81.87178244,-81.66345291,-116.81540352,-116.78170896,-119.91141196,-122.40692909,-113.04137912,-121.29535185,-117.84445962,-119.00228607
2826.65330661,-46.82505805,2.30971711,-80.82535246,2.30971711,-117.78928063,4.55877147,36.96392817,-41.12985867,-47.23173174,-47.88519426,-47.69077615,-47.61076139,-47.81419151,-47.70019004,-47.53776066,-75.13015307,-81.23202615,-81.88548867,-81.69107056,-81.61105579,-81.81448592,-81.70048444,-81.53805506,-117.56758798,-118.90178216,-119.82056176,-120.71984348,-106.87293497,-121.02794610,-118.97996071,-118.42362785
2869.73947896,-46.77921295,2.09623193,-80.46463694,2.09623193,-117.82944012,5.67537498,37.36480317,-41.63150935,-46.93777842,-47.83660049,-47.60190513,-47.67680641,-47.54182670,-47.54602477,-47.46125234,-75.31693334,-80.62320241,-81.52202448,-81.28732912,-81.36223040,-81.22725070,-81.23144877,-81.14667633,-116.32254370,-120.60232949,-119.18889649,-121.50967123,-104.45804352,-121.92224105,-119.59240691,-119.03938852
2912.82565130,-46.76719069,1.91441884,-80.13974305,1.91441884,-118.98272599,3.63881833,38.84298294,-42.10019351,-46.73822838,-47.81934128,-47.55522382,-47.75768956,-47.33616394,-47.42669482,-47.40399022,-75.47274587,-80.11078074,-81.19189364,-80.92777618,-81.13024192,-80.70871630,-80.79924718,-80.77654258,-119.17884737,-121.23070314,-118.81224790,-121.43984460,-110.44986130,-121.67174780,-118.88029594,-120.19825990
2955.91182365,-47.02333524,1.92171590,-80.09886341,1.92171590,-119.31037793,2.70428940,39.21151451,-42.30750025,-47.28716159,-48.05052038,-47.84304672,-47.95621790,-47.65935311,-47.58355906,-47.49932288,-75.38302843,-80.36268977,-81.12604856,-80.91857490,-81.03174608,-80.73488129,-80.65908723,-80.57485106,-117.33451704,-121.09429316,-119.30448841,-121.48138124,-113.77308160,-121.66713975,-118.80777125,-121.02035096
2998.99799599,-47.27947978,1.93882988,-80.05798378,1.93882988,-120.27853670,2.27647742,40.22055292,-42.51480698,-47.83609480,-48.28169948,-48.13086963,-48.15474624,-47.98254229,-47.74042330,-47.59465554,-75.29331098,-80.61459879,-81.06020348,-80.90937362,-80.93325024,-80.76104628,-80.51892729,-80.37315954,-119.64006540,-120.56515287,-120.82668539,-122.31311997,-115.51263010,-122.70549203,-119.16277954,-121.50236832
3042.08416834,-48.02631923,1.77820759,-80.51520325,1.77820759,-120.16688668,2.91221573,39.65168343,-43.69774124,-48.82004231,-49.03630786,-48.88006513,-48.82627272,-48.59005737,-48.26258767,-48.09747957,-76.18662526,-81.30892633,-81.52519188,-81.36894915,-81.31515674,-81.07894139,-80.75147169,-80.58636359,-119.89300860,-120.74699408,-121.26904679,-121.70726679,-113.22951288,-122.44910672,-120.48324345,-121.55691414
